Habitaciones,Baños,Estrato,Administración,Precio m²,Parqueaderos,Precio,Área construída (m²),Área privada (m²)
1.0,2.0,4.0,60000,"4.032.258,06",1.0,250000000,62,62
1.0,2.0,6.0,60000,"6.428.571,43",2.0,675000000,105,0
1.0,1.0,5.0,167.000,4.700.000,2.0,235000000,50,0
1.0,1.0,4.0,60000,6.187.500,1.0,198000000,32,0
2.0,2.0,6.0,180.000,7.421.875,1.0,475000000,64,64
4.0,5.0,6.0,650.000,"6.162.790,70",2.0,1060000000,172,172
3.0,2.0,5.0,60000,"3.334.127,17",1.0,420000000,"125,97",115
2.0,2.0,3.0,40.000,"4.818.181,82",1.0,265000000,55,55
3.0,3.0,4.0,244.000,"4.487.099,59",1.0,360000000,"80,23","80,23"
2.0,2.0,6.0,60000,"4.857.142,86",1.0,340000000,70,0
3.0,2.0,5.0,60.000,"4.551.282,05",1.0,355000000,78,0
3.0,3.0,6.0,60000,"6.461.538,46",1.0,840000000,130,130
3.0,2.0,5.0,60000,"3.698.630,14",1.0,270000000,73,0
2.0,2.0,4.0,230.000,"5.333.333,33",1.0,320000000,60,0
3.0,3.0,4.0,311.000,"3.197.674,42",1.0,275000000,86,86
2.0,2.0,4.0,60000,"4.081.632,65",1.0,200000000,49,0
3.0,2.0,5.0,281.000,"6.798.801,57",1.0,590000000,"86,78",87
5.0,5.0,4.0,843.000,"2.188.552,19",1.0,650000000,297,297
3.0,2.0,5.0,450.000,5.800.000,2.0,638000000,110,0
3.0,3.0,5.0,320.000,"4.702.380,95",1.0,395000000,84,84
4.0,5.0,6.0,900.000,"4.280.155,64",2.0,1100000000,257,257
1.0,1.0,5.0,65.500,6.000.000,1.0,180000000,30,30
3.0,4.0,5.0,607.000,"4.170.212,77",1.0,980000000,235,235
3.0,5.0,6.0,1.050.000,7.400.000,3.0,1850000000,250,250
3.0,2.0,3.0,163.000,4.200.000,1.0,210000000,50,0
2.0,2.0,4.0,165.000,"4.907.407,41",1.0,265000000,54,0
4.0,3.0,4.0,60000,"3.465.116,28",1.0,298000000,86,86
3.0,2.0,5.0,218.000,"4.666.666,67",1.0,350000000,75,75
2.0,2.0,6.0,320.000,"6.216.216,22",1.0,460000000,74,0
1.0,2.0,4.0,60000,"4.032.258,06",1.0,250000000,62,62
1.0,2.0,6.0,60000,"6.428.571,43",2.0,675000000,105,0
1.0,1.0,5.0,167.000,4.700.000,2.0,235000000,50,0
1.0,1.0,4.0,60000,6.187.500,1.0,198000000,32,0
3.0,2.0,5.0,281.000,"6.798.801,57",1.0,590000000,"86,78",87
3.0,2.0,3.0,163.000,4.200.000,1.0,210000000,50,0
3.0,3.0,4.0,244.000,"4.487.099,59",1.0,360000000,"80,23","80,23"
4.0,3.0,4.0,60000,"3.465.116,28",1.0,298000000,86,86
5.0,5.0,4.0,843.000,"2.188.552,19",1.0,650000000,297,297
2.0,2.0,6.0,60000,"4.857.142,86",1.0,340000000,70,0
4.0,5.0,6.0,900.000,"4.280.155,64",2.0,1100000000,257,257
2.0,2.0,4.0,60000,"4.081.632,65",1.0,200000000,49,0
2.0,2.0,6.0,180.000,7.421.875,1.0,475000000,64,64
3.0,3.0,6.0,60000,"6.461.538,46",1.0,840000000,130,130
3.0,2.0,5.0,60.000,"4.551.282,05",1.0,355000000,78,0
3.0,2.0,5.0,60000,"3.698.630,14",1.0,270000000,73,0
3.0,4.0,5.0,607.000,"4.170.212,77",1.0,980000000,235,235
4.0,5.0,6.0,650.000,"6.162.790,70",2.0,1060000000,172,172
3.0,3.0,5.0,320.000,"4.702.380,95",1.0,395000000,84,84
3.0,5.0,6.0,1.050.000,7.400.000,3.0,1850000000,250,250
3.0,2.0,5.0,218.000,"4.666.666,67",1.0,350000000,75,75
3.0,3.0,4.0,311.000,"3.197.674,42",1.0,275000000,86,86
3.0,2.0,5.0,60000,"3.334.127,17",1.0,420000000,"125,97",115
2.0,2.0,4.0,230.000,"5.333.333,33",1.0,320000000,60,0
1.0,1.0,5.0,65.500,6.000.000,1.0,180000000,30,30
2.0,2.0,4.0,165.000,"4.907.407,41",1.0,265000000,54,0
3.0,2.0,5.0,450.000,5.800.000,2.0,638000000,110,0
2.0,2.0,6.0,320.000,"6.216.216,22",1.0,460000000,74,0
2.0,2.0,3.0,40.000,"4.818.181,82",1.0,265000000,55,55
1.0,2.0,4.0,60000,"4.032.258,06",1.0,250000000,62,62
1.0,2.0,6.0,60000,"6.428.571,43",2.0,675000000,105,0
1.0,1.0,5.0,167.000,4.700.000,2.0,235000000,50,0
1.0,1.0,4.0,60000,6.187.500,1.0,198000000,32,0
3.0,4.0,6.0,546.167,"6.448.275,86",2.0,935000000,145,0
3.0,2.0,4.0,230.652,"5.363.636,36",1.0,295000000,55,0
4.0,5.0,6.0,550.000,"4.148.837,21",2.0,892000000,215,215
2.0,2.0,6.0,60000,"4.857.142,86",1.0,340000000,70,0
3.0,2.0,5.0,310.000,"4.794.520,55",2.0,350000000,73,73
3.0,3.0,6.0,360.000,5.000.000,1.0,465000000,93,0
3.0,2.0,5.0,250.000,"4.302.325,58",1.0,370000000,86,0
3.0,2.0,5.0,390.000,"5.698.924,73",1.0,530000000,93,93
3.0,2.0,6.0,418.000,"5.196.078,43",1.0,530000000,102,102
3.0,2.0,4.0,280.000,"5.547.945,21",1.0,405000000,73,0
3.0,2.0,4.0,1,3.593.750,1.0,230000000,64,0
4.0,3.0,4.0,60000,"3.753.246,75",1.0,289000000,77,0
3.0,4.0,5.0,700.000,"5.581.395,35",2.0,1200000000,215,0
3.0,2.0,6.0,530.000,"6.315.789,47",2.0,600000000,95,0
2.0,2.0,3.0,190.000,"5.673.076,92",1.0,295000000,52,52
3.0,2.0,5.0,368.000,"4.666.666,67",1.0,420000000,90,0
3.0,1.0,3.0,217.840,"3.738.461,54",1.0,243000000,65,65
2.0,2.0,4.0,60000,6.400.000,1.0,320000000,50,0
3.0,4.0,6.0,1.000.000,"4.579.439,25",3.0,980000000,214,214
1.0,2.0,4.0,60000,"4.032.258,06",1.0,250000000,62,62
1.0,2.0,6.0,60000,"6.428.571,43",2.0,675000000,105,0
1.0,1.0,5.0,167.000,4.700.000,2.0,235000000,50,0
1.0,1.0,4.0,60000,6.187.500,1.0,198000000,32,0
2.0,1.0,3.0,60.000,3.250.000,1.0,130000000,40,40
3.0,3.0,5.0,220.000,4.687.500,1.0,450000000,96,96
3.0,2.0,5.0,363.000,"4.808.988,76",2.0,428000000,89,89
3.0,3.0,6.0,330.000,"5.584.415,58",1.0,430000000,77,0
3.0,2.0,5.0,267.000,"5.833.333,33",1.0,420000000,72,72
2.0,2.0,6.0,60000,"4.857.142,86",1.0,340000000,70,0
3.0,4.0,5.0,300.000,"6.666.666,67",2.0,1100000000,165,165
2.0,1.0,4.0,103.000,"4.444.444,44",1.0,200000000,45,45
4.0,3.0,6.0,60000,"3.915.833,33",1.0,469900000,120,120
3.0,2.0,3.0,150.000,"4.264.150,94",1.0,226000000,53,53
3.0,2.0,3.0,230.000,"4.516.129,03",1.0,280000000,62,62
1.0,2.0,6.0,60000,7.000.000,2.0,490000000,70,70
2.0,1.0,2.0,60000,"1.384.615,38",1.0,90000000,65,0
4.0,2.0,5.0,451.800,"4.476.190,48",2.0,470000000,105,105
3.0,3.0,6.0,528.000,"5.257.731,96",2.0,510000000,97,89
3.0,2.0,3.0,60000,"2.275.641,03",1.0,355000000,156,156
2.0,2.0,4.0,60000,"5.049.682,36",1.0,310000000,"61,39",0
1.0,1.0,4.0,178.300,"4.354.838,71",1.0,135000000,31,0
2.0,3.0,6.0,596.300,"4.361.344,54",1.0,519000000,119,119
3.0,1.0,2.0,60000,"2.888.888,89",1.0,130000000,45,45
2.0,2.0,5.0,300.000,"5.282.051,28",1.0,412000000,78,78
2.0,2.0,6.0,360.000,"6.944.444,44",2.0,625000000,90,0
4.0,4.0,6.0,725.000,"3.830.645,16",2.0,950000000,248,248
4.0,3.0,6.0,450.000,"4.370.370,37",2.0,590000000,135,135
3.0,2.0,5.0,495.000,"4.271.844,66",1.0,440000000,103,0
1.0,2.0,4.0,60000,"4.032.258,06",1.0,250000000,62,62
1.0,2.0,6.0,60000,"6.428.571,43",2.0,675000000,105,0
1.0,1.0,5.0,167.000,4.700.000,2.0,235000000,50,0
1.0,1.0,4.0,60000,6.187.500,1.0,198000000,32,0
3.0,3.0,6.0,750.000,"4.131.736,53",2.0,690000000,167,0
3.0,2.0,6.0,620.000,"4.881.889,76",2.0,620000000,127,127
2.0,1.0,3.0,60000,"3.729.729,73",1.0,138000000,37,37
3.0,3.0,5.0,456.600,"4.193.548,39",1.0,650000000,155,155
2.0,2.0,6.0,60000,"4.857.142,86",1.0,340000000,70,0
3.0,2.0,4.0,172.000,4.000.000,1.0,220000000,55,55
3.0,1.0,3.0,60000,"3.142.857,14",1.0,220000000,70,70
3.0,3.0,6.0,592.800,"4.017.094,02",2.0,470000000,117,0
3.0,2.0,3.0,60000,"1.942.446,04",1.0,270000000,139,0
2.0,3.0,6.0,573.265,"8.464.423,08",2.0,880300000,104,0
2.0,2.0,4.0,60000,"3.636.363,64",1.0,480000000,132,132
3.0,3.0,5.0,60000,"6.857.142,86",1.0,720000000,105,0
3.0,2.0,5.0,158.000,"5.693.877,55",1.0,558000000,98,98
3.0,5.0,5.0,690.000,"7.425.742.574,26",1.0,1500000000000,202,0
3.0,2.0,4.0,292.000,"4.098.360,66",1.0,250000000,61,0
3.0,2.0,4.0,60000,"4.264.705,88",1.0,290000000,68,0
3.0,3.0,6.0,860.000,"4.320.987,65",2.0,700000000,162,162
2.0,1.0,3.0,70.000,"3.432.432,43",1.0,127000000,37,0
4.0,4.0,6.0,450.000,"6.282.051,28",2.0,735000000,117,117
1.0,2.0,4.0,60000,"4.032.258,06",1.0,250000000,62,62
1.0,2.0,6.0,60000,"6.428.571,43",2.0,675000000,105,0
1.0,1.0,5.0,167.000,4.700.000,2.0,235000000,50,0
1.0,1.0,4.0,60000,6.187.500,1.0,198000000,32,0
2.0,1.0,3.0,74.000,"2.717.948,72",1.0,106000000,39,0
2.0,2.0,5.0,342.200,"5.949.367,09",1.0,470000000,79,0
